id,vendor,series,name,slug,description,specs,warranty,features,source_url,source_updated_at,active,created_at,updated_at,category,sku,coverage_sqft_per_box
16,Harbinger,Craftsman Series,Horizon,harbinger-craftsman-series-horizon,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time),,,
17,Harbinger,Craftsman Series,Gobi,harbinger-craftsman-series-gobi,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time),,,
18,Harbinger,Craftsman Series,Farmhouse Umber,harbinger-craftsman-series-farmhouse-umber,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),,,
19,Harbinger,Craftsman Series,Farmhouse Nordic,harbinger-craftsman-series-farmhouse-nordic,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),,,
20,Harbinger,Craftsman Series,Burmese Teak,harbinger-craftsman-series-burmese-teak,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),,,
21,Harbinger,Craftsman Series,Terrazzo,harbinger-craftsman-series-terrazzo,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),,,
22,Harbinger,Craftsman Series,Namibia,harbinger-craftsman-series-namibia,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),,,
23,Harbinger,Craftsman Series,Zambia,harbinger-craftsman-series-zambia,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),,,
24,Harbinger,Craftsman Series,Madagascar,harbinger-craftsman-series-madagascar,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),,,
25,Harbinger,Craftsman Series,Angola,harbinger-craftsman-series-angola,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),,,
