id,vendor,series,name,sku,slug,active,source_url,created_at,updated_at
25,Harbinger,Craftsman Series,Angola,,harbinger-craftsman-series-angola,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time)
26,Harbinger,Craftsman Series,Botswana,,harbinger-craftsman-series-botswana,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time)
27,Harbinger,Craftsman Series,Kenya,,harbinger-craftsman-series-kenya,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time)
28,Harbinger,Craftsman Series,Tanzania,,harbinger-craftsman-series-tanzania,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time)
29,Harbinger,Craftsman Series,Brunei,,harbinger-craftsman-series-brunei,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time)
30,Harbinger,Craftsman Series,Jakarta,,harbinger-craftsman-series-jakarta,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time)
31,Harbinger,Craftsman Series,Tonga,,harbinger-craftsman-series-tonga,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time)
32,Harbinger,Craftsman Series,Bali,,harbinger-craftsman-series-bali,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time)
33,Harbinger,Craftsman Series,Paris,,harbinger-craftsman-series-paris,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time)
34,Harbinger,Essentials,Hampton Greige,HES 23066R,harbinger-essentials-hampton-greige,true,https://www.harbingerfloors.com/product-page/hampton-greige,Sun Jan 18 2026 20:47:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time)
35,Harbinger,Essentials,Beach House,HES 23077R,harbinger-essentials-beach-house,true,https://www.harbingerfloors.com/product-page/beach-house,Sun Jan 18 2026 20:47:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time)
36,Harbinger,Essentials,Perissa,HES 24066T,harbinger-essentials-perissa,true,https://www.harbingerfloors.com/product-page/perissa,Sun Jan 18 2026 20:47:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time)
37,Harbinger,Contract,Coventry Spice,HVP 22044T,harbinger-contract-coventry-spice,true,https://www.harbingerfloors.com/product-page/coventry-spice,Sun Jan 18 2026 21:21:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:53 GMT-0800 (Pacific Standard Time)
38,Harbinger,Contract,Savannah Oak,HVP 22055T,harbinger-contract-savannah-oak,true,https://www.harbingerfloors.com/product-page/savannahoak,Sun Jan 18 2026 21:21:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:53 GMT-0800 (Pacific Standard Time)
39,Harbinger,Contract,Bonsai Maple,HVP 22077T,harbinger-contract-bonsai-maple,true,https://www.harbingerfloors.com/product-page/bonsai-maple,Sun Jan 18 2026 21:21:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time)
40,Harbinger,Contract,Tumbleweed,HVP 22088T,harbinger-contract-tumbleweed,true,https://www.harbingerfloors.com/product-page/tumbleweed,Sun Jan 18 2026 21:21:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time)
